number,name,former_name,kind,jurisdiction,status
214810,COREY POPES GENERAL CONTRACTING,,Business Name,Yukon,Expired
214811,BORDERLINE TRADING,,Business Name,Yukon,Expired
214812,COMMUNITY INVESTIGATION AGENCY,,Business Name,Yukon,Expired
214814,DEKLAR SYSTEM CONSULTING,,Business Name,Yukon,Expired
214815,BERNARD ALTERNATIVE HEALTH CENTRE,,Business Name,Yukon,Expired
214816,MALLOCH CONSULTING SERVICES,,Business Name,Yukon,Expired
214817,YUKON HARVEST ARTS & CRAFTS,,Business Name,Yukon,Expired
214818,ADECCO EMPLOYMENT SERVICES*,,Business Name,Yukon,Ceased/Dissolved
214819,NORODO TRUCKING ENTERPRISES,,Business Name,Yukon,Expired
214820,PINE MARTEN ADVENTURES,,Business Name,Yukon,Expired
214821,RENCONFD FIRE SERVICES,,Business Name,Yukon,Expired
214822,SHEFFIELD PHOTOGRAPHY,,Business Name,Yukon,Expired
214823,WHAT A MESS,,Business Name,Yukon,Expired
214824,COMNORTH CONSTRUCTION,,Business Name,Yukon,Ceased/Dissolved
214825,COWLEY CREEK EXPLORATION SERVICES,,Business Name,Yukon,Expired
214827,RANDALL CONSULTING,,Business Name,Yukon,Expired
214828,NUAGE BATH & SHOWER REPAIR,,Business Name,Yukon,Expired
214829,INTERSPORT,,Business Name,Yukon,Ceased/Dissolved
214830,R.J. SCRAP METAL RECYCLING,,Business Name,Yukon,Expired
214831,CAR TOYS ACCESSORIES,,Business Name,Yukon,Ceased/Dissolved
214832,KLUANE WILDERNESS LODGE,,Business Name,Yukon,Expired
214833,PETER'S FUEL SERVICES,,Business Name,Yukon,Expired
214834,HANDMADE PIECES OF A DREAM,,Business Name,Yukon,Expired
214835,YUKON EDUVENTURES,,Business Name,Yukon,Expired
214836,SARAH'S RESTAURANT,,Business Name,Yukon,Expired
214837,PHILLIPS CATERING SERVICE,,Business Name,Yukon,Expired
214838,ARCTICFRONT AVIATION,,Business Name,Yukon,Expired
214839,MOSQUITOBITE RAFTING,,Business Name,Yukon,Expired
214840,PLAY DAYS DAYHOME,,Business Name,Yukon,Expired
214841,SUMMIT ELECTRIC,,Business Name,Yukon,Active
214842,COUNTRY CONSTRUCTION,,Business Name,Yukon,Expired
214843,TRADUCTION ABC TRANSLATION,,Business Name,Yukon,Ceased/Dissolved
214844,MACDOUGALL'S RACING KENNELS,,Business Name,Yukon,Expired
214845,TRIPLE P GATEKEEPING SERVICES,,Business Name,Yukon,Expired
214846,GREEN APPLE GRAPHICS,,Business Name,Yukon,Expired
214847,WEE-CAN DELIVER,,Business Name,Yukon,Expired
214848,A-Z PEST CONTROL,,Business Name,Yukon,Expired
214849,HEADWATER PUBLICATIONS,,Business Name,Yukon,Expired
214850,SILA TOURS & PUBLICATIONS,,Business Name,Yukon,Expired
214852,PHYTO LABS INTERNATIONAL,,Business Name,Yukon,Expired
214853,DOWNTOWN DAYS CHILDCARE CENTRE,,Business Name,Yukon,Expired
214854,IT'S LUNCH TIME,,Business Name,Yukon,Expired
214855,FAMILIES IN TOUCH ALBUM DESIGNS,,Business Name,Yukon,Expired
214857,SUNSHINE HORIZON COMPUTER CONSULTING,,Business Name,Yukon,Expired
214858,MEAN CLEAN JANITORIAL,,Business Name,Yukon,Expired
214859,RV RAMP SALES,,Business Name,Yukon,Expired
214860,FOOT CARE BY DONNA,,Business Name,Yukon,Ceased/Dissolved
214861,YUKON STANDARD SERVICES,,Business Name,Yukon,Expired
214863,KLONDIKE MOBILE REPAIRS,,Business Name,Yukon,Expired
214864,CHILLKAT PRODUCTIONS,,Business Name,Yukon,Expired
214865,MOUNTAIN MEADOW HERBAL ESSENTIALS,,Business Name,Yukon,Expired
214866,ALPHA OUTER GEAR,,Business Name,Yukon,Expired
214867,POLAR COMPUTER SYSTEMS,,Business Name,Yukon,Expired
214868,AURORA COMPUTER SYSTEMS,,Business Name,Yukon,Expired
214869,ANGELA'S HAIRSTYLING,,Business Name,Yukon,Expired
214870,AIR FORCE LODGE,,Business Name,Yukon,Active
214871,DONNA M. MERCIER CONSULTING,,Business Name,Yukon,Expired
214872,BOREALIS BOOKS,,Business Name,Yukon,Expired
214873,DAWSON GIFTS & GOLD,,Business Name,Yukon,Expired
214874,DRIVE AWAY VANS (SALES & LEASE),,Business Name,Yukon,Expired
214875,AURORA MOUNTAIN RANCH,,Business Name,Yukon,Expired
214876,ADOBE BOREALIS ENERGY & IDEAS CONSULTING,,Business Name,Yukon,Expired
214877,ANTOR ADMINISTRATION,,Business Name,Yukon,Expired
214878,AL GIOIA TRUCKING,,Business Name,Yukon,Active
214879,HARTLE TRUCK LINES,,Business Name,Yukon,Expired
214880,COLLEEN O'BRIEN CONSULTING,,Business Name,Yukon,Expired
214881,GOOD TO GO ARMY SURPLUS,,Business Name,Yukon,Expired
214882,CHILKOOT CONSTRUCTION,,Business Name,Yukon,Expired
214883,MORRISON MANAGEMENT CONSULTING,,Business Name,Yukon,Expired
214884,ARCHIE WILDLIFE CONSULTING,,Business Name,Yukon,Expired
214885,CEDAR AND CANVAS ADVENTURES,,Business Name,Yukon,Expired
214886,RELAXATION SERVICES,,Business Name,Yukon,Expired
214887,OZZYS OASIS PRODUCTIONS,,Business Name,Yukon,Expired
214889,CIBC WOOD GUNDY FINANCIAL SERVICES,,Business Name,Yukon,Active
214890,LA LIGNE METEO,,Business Name,Yukon,Expired
214891,MM MULTIMEDIA,,Business Name,Yukon,Expired
214892,TWN NEW MEDIA,,Business Name,Yukon,Expired
214893,"GREEN ROOM, THE",,Business Name,Yukon,Ceased/Dissolved
214894,DO RE ME CIRCUS SHOWS,,Business Name,Yukon,Expired
214895,LYON BUSINESS ASSISTANCE,,Business Name,Yukon,Expired
214896,DAVID S. ASHLEY AND CHERYL RIVEST GOLDSMITHS,,Business Name,Yukon,Expired
214897,VINTAGE VENTURES,,Business Name,Yukon,Expired
214898,CIBC WOOD GUNDY,,Business Name,Yukon,Expired
214899,CANYON VALLEY VENTURES,,Business Name,Yukon,Expired
214900,JOHN'S JANITORIAL SERVICES,,Business Name,Yukon,Expired
214901,EDWARDS SPRINKLER,,Business Name,Yukon,Ceased/Dissolved
214902,ALYESKA VACATION HOME,,Business Name,Yukon,Expired
214903,NORTHSHORE VENTURES,,Business Name,Yukon,Expired
214904,DEL ELECTRIC AND COMMUNICATIONS,,Business Name,Yukon,Expired
214905,ARCTIC OUTDOOR RECREATION,,Business Name,Yukon,Ceased/Dissolved
214907,MARSH LAKE MARINA,,Business Name,Yukon,Expired
214908,HIT THE ROAD TRAVEL TOURS,,Business Name,Yukon,Expired
214909,RD COMSERV,,Business Name,Yukon,Expired
214910,BONANZA HOUSE B&B,,Business Name,Yukon,Expired
214912,PIZZA HUT CANADA,,Business Name,Yukon,Ceased/Dissolved
214913,KFC-CANADA,,Business Name,Yukon,Active
214914,TROPHY ADVENTURES,,Business Name,Yukon,Ceased/Dissolved
214915,HAPPY CAMPER RENTALS,,Business Name,Yukon,Expired
214916,TACO BELL OF CANADA,,Business Name,Yukon,Ceased/Dissolved
214917,ALPINE PHYSIOTHERAPY,,Business Name,Yukon,Ceased/Dissolved
214918,SLICKERS HAIR DESIGN,,Business Name,Yukon,Expired
214919,LOLITA'S PLACE CUISINE,,Business Name,Yukon,Expired
214920,GRAIG SMITH CONTRACT SERVICES,,Business Name,Yukon,Expired
214921,ANOTHER DAY IN PARADISE YUKON TOURS,,Business Name,Yukon,Expired
214922,PROGRESSION BODY PIERCING AND AFTERCARE,,Business Name,Yukon,Expired
214923,AL SAVARD MOVING ENTERPRISES,,Business Name,Yukon,Expired
214924,MOTHERLODE JEWELLERY,,Business Name,Yukon,Expired
214925,PORTERS PLACE,,Business Name,Yukon,Expired
214926,PEAK FITNESS,,Business Name,Yukon,Ceased/Dissolved
214927,SPIRIT OF THE NORTH GUIDING,,Business Name,Yukon,Ceased/Dissolved
214928,NORTHERN OUTDOORS,,Business Name,Yukon,Ceased/Dissolved
214929,MIDNIGHT KENNELS,,Business Name,Yukon,Expired
214930,EMERALD CONSTRUCTION,,Business Name,Yukon,Expired
214931,MAGUNDY VALLEY LOG BUILDING,,Business Name,Yukon,Expired
214932,TAKHINI RIVER MANAGEMENT CONSULTING,,Business Name,Yukon,Expired
214933,MERENDON YUKON GOLD BUYERS,,Business Name,Yukon,Expired
214934,PRIMERICA,,Business Name,Yukon,Active
214935,IRUN'S JANITORIAL,,Business Name,Yukon,Expired
214936,EXCLUSIVE TOURS,,Business Name,Yukon,Expired
214937,"DOUBLE A RANCH, THE",,Business Name,Yukon,Expired
214938,HIGHWIND BED & BREAKFAST,,Business Name,Yukon,Expired
214939,LYNN BARTSCH INDEPENDENT NIKKEN DISTRIBUTOR,,Business Name,Yukon,Expired
214940,H F DICKSON LANDSCAPING,,Business Name,Yukon,Expired
214941,FARO WOODWORK - BOTTLE DEPOT,,Business Name,Yukon,Active
214942,YUKON BREWING COMPANY,,Business Name,Yukon,Expired
214943,PETE'S CABINS AND CABINETS CARPENTRY SERVICES,,Business Name,Yukon,Ceased/Dissolved
214944,GLAMOUR - EYES ESTHETICS SALON,,Business Name,Yukon,Expired
214945,BLACK MOUNTAIN SERVICES,,Business Name,Yukon,Expired
214946,POPEYE'S JANITORIAL,,Business Name,Yukon,Expired
214947,CUSTOM ENGINES,,Business Name,Yukon,Expired
214948,CUSTOM CAKE DECORATING,,Business Name,Yukon,Expired
214949,TAGE CRAFTS,,Business Name,Yukon,Expired
214950,POWER'S MECHANICAL,,Business Name,Yukon,Expired
214951,COMMUNICATION NORTH CONSTRUCTION,,Business Name,Yukon,Expired
214952,J P PINARD CONSULTING ENGINEER,,Business Name,Yukon,Ceased/Dissolved
214953,TRIPLE M CONSULTING,,Business Name,Yukon,Expired
214954,JAYCEE'S DAY SPA,,Business Name,Yukon,Ceased/Dissolved
214955,MOM'S KITCHEN,,Business Name,Yukon,Expired
214956,JAYME AYLWARD POLICY CONSULTING,,Business Name,Yukon,Expired
214957,HILLBILLY COMPUTERS,,Business Name,Yukon,Expired
214958,IBM GLOBAL FINANCING,,Business Name,Yukon,Ceased/Dissolved
214959,VAN BIBBER CONSULTING,,Business Name,Yukon,Expired
214960,NORTHGATE ASSISTANT SERVICES,,Business Name,Yukon,Expired
214961,TWO WILD CONTRACTING,,Business Name,Yukon,Expired
214962,RAVEN MAD ADVENTURES,,Business Name,Yukon,Expired
214963,FIREWEED HIKES & BIKES ADVENTURE TOURS,,Business Name,Yukon,Expired
214964,PACESETTER PETROLEUM,,Business Name,Yukon,Ceased/Dissolved
214965,RIVERBANK COFFEE STOP,,Business Name,Yukon,Expired
214966,"DOWNTOWN RUNNER COURIER SERVICE, (THE)",,Business Name,Yukon,Ceased/Dissolved
214967,GOOD IMPRESSIONS SALES,,Business Name,Yukon,Expired
214968,FX ESTHETICS*,,Business Name,Yukon,Ceased/Dissolved
214969,AKASHA'S FAMILY DAY HOME,,Business Name,Yukon,Expired
214970,ARCTERRA MAPPING,,Business Name,Yukon,Ceased/Dissolved
214971,ROYAL A ENTERPRISES,,Business Name,Yukon,Expired
214972,BT'S ANTIQUES 'N UNIQUES,,Business Name,Yukon,Expired
214973,"QUILT CABIN, THE",,Business Name,Yukon,Expired
214974,CHRYSLER CREDIT CANADA*,,Business Name,Yukon,Ceased/Dissolved
214975,MERCEDES-BENZ CREDIT / CREDIT MERCEDES-BENZ,,Business Name,Yukon,Ceased/Dissolved
214976,MERCEDES-BENZ CREDIT OF CANADA / CREDIT MERCEDES-BENZ DU CANADA,,Business Name,Yukon,Ceased/Dissolved
214977,DAIMLERCHRYSLER FINANCIAL SERVICES / SERVICES FINANCIERS DAIMLERCHRYSLER,,Business Name,Yukon,Ceased/Dissolved
214978,DEBIS FINANCIAL SERVICES / SERVICES FINANCIERS DEBIS,,Business Name,Yukon,Ceased/Dissolved
214979,STERLING FINANCIAL SERVICES / SERVICES FINANCIERS STERLING,,Business Name,Yukon,Expired
214980,DAEWOO FINANCIAL SERVICES / SERVICES FINANCIERS DAEWOO,,Business Name,Yukon,Ceased/Dissolved
214981,DDC-MTU FINANCIAL SERVICESSERVICES FINANCIERS DDC,,Business Name,Yukon,Expired
214982,DAIMLERCHRYSLER CAPITAL SERVICES (DEBIS) CANADASE,,Business Name,Yukon,Ceased/Dissolved
214983,REDWING CONTRACTING,,Business Name,Yukon,Expired
214984,BENOIT ELECTRICAL,,Business Name,Yukon,Expired
214985,SAN TOKKI RESTAURANT,,Business Name,Yukon,Expired
214986,WESTEEL,,Business Name,Yukon,Ceased/Dissolved
214987,VICWEST,,Business Name,Yukon,Expired
214988,JENISYS,,Business Name,Yukon,Ceased/Dissolved
214989,JENISYS ENGINEERED PRODUCTS,,Business Name,Yukon,Ceased/Dissolved
214990,ARMTEC,,Business Name,Yukon,Expired
214991,BIG 'O',,Business Name,Yukon,Expired
214992,CANTEEN,,Business Name,Yukon,Expired
214993,SELECT SERVICE PARTNER,,Business Name,Yukon,Expired
214994,CHARTWELLS,,Business Name,Yukon,Expired
214995,BATEMAN,,Business Name,Yukon,Expired
214996,EUREST,,Business Name,Yukon,Expired
214998,NORWOOD HILLS COLLECTION,,Business Name,Yukon,Expired
214999,STEVE'S SPECIAL SERVICES,,Business Name,Yukon,Expired
215000,HIGH COUNTRY INN,,Business Name,Yukon,Ceased/Dissolved
215001,HONG VU'S RESTAURANT,,Business Name,Yukon,Expired
215002,JOHN TASKER PAINTING,,Business Name,Yukon,Expired
215003,BANNOCK DELIGHTS,,Business Name,Yukon,Expired
215004,BLUE MOON CONSTRUCTION,,Business Name,Yukon,Expired
215005,JOHN BERGMAN ROOFING,,Business Name,Yukon,Expired
215006,WILTEL,,Business Name,Yukon,Expired
215007,ROBERTS LIFTS,,Business Name,Yukon,Expired
215008,WATSON LAKE TAXI,,Business Name,Yukon,Expired
215009,INSA DESIGN,,Business Name,Yukon,Expired
215010,ADESA CANADA,,Business Name,Yukon,Expired
215011,TRI CYCLE BUILDERS,,Business Name,Yukon,Expired
215012,CUSTOM AIRBRUSH DELIGHTS,,Business Name,Yukon,Expired
215013,KIDS 'R' KIDZ FAMILY DAYHOME,,Business Name,Yukon,Expired
215014,KENITIC WELDING,,Business Name,Yukon,Expired
215015,WIND RIVER ADVENTURES,,Business Name,Yukon,Expired
215016,DEVIL'S ELBOW GRILL,,Business Name,Yukon,Expired
215017,NILSERIC ACCOUNTING SERVICES,,Business Name,Yukon,Expired
215018,SCHLUMBERGER,,Business Name,Yukon,Expired
215020,FREERANGE RANCH,,Business Name,Yukon,Expired
215021,G.E. JANITORIAL,,Business Name,Yukon,Ceased/Dissolved
215023,NORTHERN BERINGIA COMMUNITY PLANNING,,Business Name,Yukon,Ceased/Dissolved
215024,KAZZA DESIGNS,,Business Name,Yukon,Expired
215025,CLAIM JUMPERS INN,,Business Name,Yukon,Expired
215026,FOX GULCH TRADING POST,,Business Name,Yukon,Expired
215027,BUG BAN PEST CONTROL,,Business Name,Yukon,Expired
215028,TINTINA CONSULTANTS,,Business Name,Yukon,Expired
215029,BROWN & ROOT ENERGY SERVICES,,Business Name,Yukon,Ceased/Dissolved
215030,HALLIBURTON MEASUREMENT SYSTEMS,,Business Name,Yukon,Ceased/Dissolved
215031,LANDMARK GRAPHICS,,Business Name,Yukon,Expired
215032,DRESSER INSTRUMENT,,Business Name,Yukon,Ceased/Dissolved
215033,DRESSER VALVE,,Business Name,Yukon,Ceased/Dissolved
215034,MONO PUMP,,Business Name,Yukon,Expired
215035,FANN INSTRUMENT,,Business Name,Yukon,Expired
215036,WAUKESHA ENGINE,,Business Name,Yukon,Ceased/Dissolved
215037,HALLIBURTON PRODUCTION SERVICES,,Business Name,Yukon,Ceased/Dissolved
215038,CAREY FARM,,Business Name,Yukon,Expired
215039,SPEEDY T.V. SERVICES,,Business Name,Yukon,Expired
215040,BACHMIER TRUCKING,,Business Name,Yukon,Ceased/Dissolved
215041,CHUCK'S DRYWALL,,Business Name,Yukon,Expired
215042,MIDNIGHT SUN MANUFACTURING,,Business Name,Yukon,Ceased/Dissolved
215043,DAWSON CITY PRESERVES,,Business Name,Yukon,Ceased/Dissolved
215044,S & D TRUCKING,,Business Name,Yukon,Expired
215045,MOTHER NATURE'S CREATIONS,,Business Name,Yukon,Expired
215046,SEE-MOR-LINES PARKING LOT PAINTING,,Business Name,Yukon,Expired
215047,FEDEX,,Business Name,Yukon,Expired
215048,FEDEX EXPRESS,,Business Name,Yukon,Expired
215049,FEDERAL EXPRESS,,Business Name,Yukon,Expired
215052,T-CHEK,,Business Name,Yukon,Ceased/Dissolved
215053,TELEKON SYSTEMS,,Business Name,Yukon,Expired
215054,XPRESS FURNITURE & MATTRESSES,,Business Name,Yukon,Expired
215055,CONNECTION CHARTER AND TOURS,,Business Name,Yukon,Ceased/Dissolved
215056,ADVANCED AUTOMOTIVE,,Business Name,Yukon,Expired
215057,MOSQUITOBITE PRODUCTIONS,,Business Name,Yukon,Expired
215058,SMUGGLERS RESTAURANT,,Business Name,Yukon,Expired
215059,BERNADETTE WARWARUK MASSAGE THERAPY,,Business Name,Yukon,Expired
215060,CHILKOOT PACKER (THE),,Business Name,Yukon,Expired
215061,WATERPIK,,Business Name,Yukon,Expired
215062,WATER PIK CANADA,,Business Name,Yukon,Expired
215063,J. TOOLE CONSTRUCTION,,Business Name,Yukon,Expired
215064,VALLEYLAB,,Business Name,Yukon,Expired
215065,RAYCHEM CANADA,,Business Name,Yukon,Active
215066,TYCO CANADA,,Business Name,Yukon,Ceased/Dissolved
215067,RAYCHEM,,Business Name,Yukon,Active
215068,AMP OF CANADA,,Business Name,Yukon,Active
215069,AMP,,Business Name,Yukon,Active
215070,DAVIS & GECK,,Business Name,Yukon,Expired
215071,AMP CANADA,,Business Name,Yukon,Active
215072,KENDALL,,Business Name,Yukon,Expired
215073,BLUE ICE PHOTOWORKS,,Business Name,Yukon,Expired
215074,SHERWOOD DAVIS & GECK,,Business Name,Yukon,Expired
215075,SHERWOOD MEDICAL,,Business Name,Yukon,Expired
215076,AUTO SUTURE,,Business Name,Yukon,Expired
215077,AUTO SUTURE COMPANY CANADA,,Business Name,Yukon,Expired
215078,TYCO ELECTRONICS,,Business Name,Yukon,Active
215079,AUTO SUTURE CANADA,,Business Name,Yukon,Expired
215080,VALLEYLAB CANADA,,Business Name,Yukon,Expired
215081,SHARCAN SECRETARIAL SERVICES,,Business Name,Yukon,Expired
215082,FREYTAG BUILDING MAINTENANCE RENTAL,,Business Name,Yukon,Expired
215083,J.D.R. CATERING AND LOGISTICS,,Business Name,Yukon,Expired
215084,MONARCH CONSTRUCTION,,Business Name,Yukon,Expired
215086,DAVE ECKER CONTRACTING,,Business Name,Yukon,Expired
215087,IT ALL COUNTS BOOKKEEPING,,Business Name,Yukon,Expired
215088,RANDY'S ROAD CONSTRUCTION,,Business Name,Yukon,Expired
215089,M.J.'S SEWING CENTRE,,Business Name,Yukon,Expired
215090,POWERTECH YUKON (SALES & RENTALS),,Business Name,Yukon,Expired
215091,C & R MORTGAGE BROKERAGE,,Business Name,Yukon,Ceased/Dissolved
215092,BISHOP PUBLISHING,,Business Name,Yukon,Expired
215093,TREELINE PRODUCTIONS,,Business Name,Yukon,Expired
215094,KAREN'S COUNTRY KITCHEN,,Business Name,Yukon,Expired
215095,NORTHERN OUTDOOR POWER SPORTS,,Business Name,Yukon,Expired
215096,SISTERS FLORAL DESIGN,,Business Name,Yukon,Expired
215097,WHITEHORSE MATH TUTORING SERVICES,,Business Name,Yukon,Expired
215098,SCOTT MCCULLOUGH CONSULTING,,Business Name,Yukon,Expired
215099,SHOP YUKON INTERNET SERVICES,,Business Name,Yukon,Expired
215100,LILLITH MOON INTIMATE APPAREL,,Business Name,Yukon,Expired
215101,P.I.G. PUBLICATIONS (PARANORMAL INFO. GATHERING),,Business Name,Yukon,Ceased/Dissolved
215102,E-SCOTIA,,Business Name,Yukon,Ceased/Dissolved
215103,SUNRISE BOAT WORKS,,Business Name,Yukon,Expired
215104,MISTY BLUE PERFORMERS,,Business Name,Yukon,Expired
215106,OTIS ENGINEERING,,Business Name,Yukon,Expired
215107,GRANHERNE,,Business Name,Yukon,Ceased/Dissolved
215108,MONOFLO,,Business Name,Yukon,Ceased/Dissolved
215109,JRC,,Business Name,Yukon,Expired
215111,OMEGA,,Business Name,Yukon,Expired
215112,AXELSON,,Business Name,Yukon,Ceased/Dissolved
215113,GUIBERSON,,Business Name,Yukon,Expired
215114,BAROID,,Business Name,Yukon,Expired
215115,VERSATILE GLASS,,Business Name,Yukon,Expired
215116,STERLING INSURANCE AND INVESTMENTS,,Business Name,Yukon,Expired
215118,TRANSAMERICA LIFE CANADA,,Business Name,Yukon,Expired
215119,YUKON SOAPSUDS,,Business Name,Yukon,Expired
215120,SONNTAG CONSULTING,,Business Name,Yukon,Expired
215121,SHADOW CREEK NURSERY,,Business Name,Yukon,Expired
215122,KE ANO ANO KE ALOHA CONSULTING,,Business Name,Yukon,Expired
215123,TUTCHONE ART,,Business Name,Yukon,Expired
215124,SOMETHING MORE CATERING,,Business Name,Yukon,Expired
215125,P.D.Q. ERRANDS,,Business Name,Yukon,Expired
215126,LEE'S KITCHEN,,Business Name,Yukon,Expired
215127,DEDE GIESBRECHT JANITORIAL,,Business Name,Yukon,Expired
215128,CLIF MOCK,,Business Name,Yukon,Ceased/Dissolved
215129,KELLOGG BROWN & ROOT,,Business Name,Yukon,Ceased/Dissolved
215130,DRESSER WAYNE,,Business Name,Yukon,Ceased/Dissolved
215131,DMDROOTS,,Business Name,Yukon,Ceased/Dissolved
215132,SPERRY-SUN,,Business Name,Yukon,Expired
215133,SECURITY DBS,,Business Name,Yukon,Expired
215134,WHEATLEY GASO,,Business Name,Yukon,Expired
215135,OSTARA COACTIVE COACHING,,Business Name,Yukon,Expired
215136,COLLEEN'S COSTUMES AND MORE,,Business Name,Yukon,Expired
215137,HIGHLAND PRODUCTIONS,,Business Name,Yukon,Expired
215139,ALSEK WRITING & MEDIATION SERVICES,,Business Name,Yukon,Expired
215140,SUNFLOWER SOAP & GIFT SHOP,,Business Name,Yukon,Expired
215141,"CREATIVE CRAFT CORNER & KIOSK, THE",,Business Name,Yukon,Expired
215142,BLACKFOOT SLED & KENNEL,,Business Name,Yukon,Expired
215143,ITINERAIR ' ALSACE CANOE' TOURS,,Business Name,Yukon,Expired
215144,TONY PAINTER CUSTOM KNIVES,,Business Name,Yukon,Active
215145,ROBERT CAMP COOK SERVICE,,Business Name,Yukon,Expired
215146,ALYESKA CHALET,,Business Name,Yukon,Expired
215147,ALYESKA YUKON TOURS,,Business Name,Yukon,Expired
215148,RJ GENERAL CONTRACTING,,Business Name,Yukon,Expired
215149,MOOSEBERRY BAKERY & COFFEE SHOP,,Business Name,Yukon,Expired
215150,LONE WOLF AUTOTECH,,Business Name,Yukon,Expired
215151,PASSPORT YUKON WILDERNESS TOURS,,Business Name,Yukon,Expired
215152,BERGERON GENERAL CONTRACTING,,Business Name,Yukon,Expired
215153,NAHONI AIR,,Business Name,Yukon,Ceased/Dissolved
215154,KEYSTONE CLEANERS,,Business Name,Yukon,Expired
215155,J & R CLEANING,,Business Name,Yukon,Ceased/Dissolved
215156,EXCELLENCE IN ACTION CONSULTING,,Business Name,Yukon,Expired
215157,WEATHER ON DEMAND,,Business Name,Yukon,Ceased/Dissolved
215158,BOREAL ADVENTURE SPORTS CHALLENGE,,Business Name,Yukon,Expired
215159,YUKON CONVENTION AND MEETING CENTRE,,Business Name,Yukon,Ceased/Dissolved
215161,PHOENIX FIRE INVESTIGATION SERVICES,,Business Name,Yukon,Expired
215162,AMPHITECH CONSULTING SERVICES,,Business Name,Yukon,Ceased/Dissolved
215163,YUKON L.L. RACING,,Business Name,Yukon,Expired
215164,CAPITAL CITY CARPENTRY,,Business Name,Yukon,Expired
215165,VINTAGE MOTORS,,Business Name,Yukon,Expired
215166,VINTAGE AUTOBODY,,Business Name,Yukon,Expired
215167,WALKING ON MY ROOTS-CRAFTS,,Business Name,Yukon,Expired
215168,MARCEL'S MAINTENANCE,,Business Name,Yukon,Expired
215169,PLANT & GARDEN DOCTOR(THE),,Business Name,Yukon,Expired
215170,S. ACTON CONSULTING,,Business Name,Yukon,Expired
215171,YUKON ECO-LEARN TOURS,,Business Name,Yukon,Expired
215172,CIBC MELLON *,,Business Name,Yukon,Expired
215173,J B CONSULTING,,Business Name,Yukon,Expired
215174,NEAT STUFF GIFTS,,Business Name,Yukon,Expired
215175,MARIGOLD PHYSIOTHERAPY,,Business Name,Yukon,Expired
215176,"PDADMIN. GROUP, THE",,Business Name,Yukon,Ceased/Dissolved
215177,RAPID DOCUMENT SERVICE,,Business Name,Yukon,Expired
215178,MIKIKO CLOTHES,,Business Name,Yukon,Expired
215179,NORTH EAST VIDEO PRODUCTIONS,,Business Name,Yukon,Expired
215180,ROBERT BELLAMY MANAGEMENT SERVICES,,Business Name,Yukon,Expired
215181,SKOOKUM COMPUTING & DESIGNS,,Business Name,Yukon,Expired
215182,INSIDE OUT IMAGES,,Business Name,Yukon,Expired
215183,LAWN CHAIR CONSTRUCTION,,Business Name,Yukon,Expired
215184,FREEDOM 55 FINANCIAL,,Business Name,Yukon,Active
215185,FINANCIERE LIBERTE 55,,Business Name,Yukon,Active
215186,MCBRIDE'S TRANSFER SERVICE AND TRAILER RENTALS,,Business Name,Yukon,Expired
215187,FERO GALLERY,,Business Name,Yukon,Expired
215188,MAKING TRACKS KIDS CLOTHES,,Business Name,Yukon,Ceased/Dissolved
215189,DANIELLE'S TUTORING,,Business Name,Yukon,Expired
215190,LAILOGIC COMMUNICATIONS,,Business Name,Yukon,Expired
215191,YUKON ESCAPES,,Business Name,Yukon,Ceased/Dissolved
215192,NEWS WATCH NORTH,,Business Name,Yukon,Expired
215193,MUD LAKE MECHANICAL & CONSTRUCTION,,Business Name,Yukon,Expired
215194,BATHMASTER OF YUKON,,Business Name,Yukon,Expired
215195,KIM SOLONICK & ASSOCIATES,,Business Name,Yukon,Expired
215196,BUCKSHOT BETTY'S 24 HR BAKERY & RESTAURANT,,Business Name,Yukon,Expired
215197,PEACEBUILDERS CONSULTING,,Business Name,Yukon,Expired
215198,GE ENERGY SERVICES / GE SERVICES D'ENERGIE,,Business Name,Yukon,Ceased/Dissolved
215199,NORTRADE SPECIALITY LUBES,,Business Name,Yukon,Ceased/Dissolved
215200,DONNESSEY CONSTRUCTION,,Business Name,Yukon,Expired
215201,ANNIE LAKE TRUCKING,,Business Name,Yukon,Expired
215202,KEEP IT COOL REFRIDGERATION,,Business Name,Yukon,Expired
215203,SHUR-GAIN,,Business Name,Yukon,Ceased/Dissolved
215204,MAPLE LEAF PREPARED MEATS,,Business Name,Yukon,Ceased/Dissolved
215205,MAPLE LEAF PORK,,Business Name,Yukon,Ceased/Dissolved
215206,MAPLE LEAF CONSUMER FOODS,,Business Name,Yukon,Ceased/Dissolved
215207,MAPLE LEAF MEATS*,,Business Name,Yukon,Ceased/Dissolved
215208,YUKON VETERINARY SERVICES,,Business Name,Yukon,Ceased/Dissolved
215209,MAPLE LEAF FOODSERVICE,,Business Name,Yukon,Ceased/Dissolved
215210,GE SERVICES D'ENERGIE,,Business Name,Yukon,Ceased/Dissolved
215211,SCHWAB CANADA SELF-MANAGED SERVICES,,Business Name,Yukon,Ceased/Dissolved
215212,SCHWAB CANADA ADVISORY SERVICES,,Business Name,Yukon,Ceased/Dissolved
215213,PINGUICULA VENTURES*,,Business Name,Yukon,Expired
215214,MOON LAKE GENERAL CONSTRUCTION,,Business Name,Yukon,Expired
215215,DEBITS & CREDITS BOOKKEEPING,,Business Name,Yukon,Ceased/Dissolved
215216,GREAT NORTHERN SPORTSWEAR,,Business Name,Yukon,Expired
