number,name,former_name,kind,jurisdiction,status
200339,MACDONALD INDUSTRIES,,Business Name,Yukon,Expired
200340,T W M PILOT CAR SERVICE,,Business Name,Yukon,Expired
200343,WATSON CONSTRUCTION,,Business Name,Yukon,Expired
200344,TERRA NORTH SUPPLY DIVISION,,Business Name,Yukon,Ceased/Dissolved
200345,COPY CAT SERVICES,,Business Name,Yukon,Expired
200346,D & R ENTERPRISES,,Business Name,Yukon,Expired
200347,DARRELL'S WELDING,,Business Name,Yukon,Expired
200352,POTTER ENTERPRISES,,Business Name,Yukon,Expired
200354,CARMACKS INDIAN ARTS & CRAFTS,,Business Name,Yukon,Expired
200363,WRIGHTWAY TRUCKING,,Business Name,Yukon,Expired
200364,KENO CITY HOTEL,,Business Name,Yukon,Expired
200366,WHITE LADY PILOT SERVICE,,Business Name,Yukon,Expired
200367,LITTLE BIT'S PILOT SERVICE,,Business Name,Yukon,Expired
200368,G LABINE TRUCKING,,Business Name,Yukon,Expired
200369,DIAMOND ELECTRIC,,Business Name,Yukon,Ceased/Dissolved
200371,E E KRIEVIN IMPORTS,,Business Name,Yukon,Expired
200372,ANNABELLE TOO,,Business Name,Yukon,Expired
200373,EWING TRANSPORT,,Business Name,Yukon,Expired
200374,JEFLEC ENTERPRISES LTD (SPORTSMAN MOTEL),,Business Name,Yukon,Expired
200377,YUKON LISTING SERVICE,,Business Name,Yukon,Ceased/Dissolved
200378,"WATERBED SHOP, THE",,Business Name,Yukon,Ceased/Dissolved
200379,BIG ISLAND CHEVRON,,Business Name,Yukon,Expired
200381,GROSSER'S,,Business Name,Yukon,Ceased/Dissolved
200384,KUSAWA OUTFITTERS,,Business Name,Yukon,Ceased/Dissolved
200385,PASKAL TRUCKING,,Business Name,Yukon,Expired
200386,BERTS PILOT CAR,,Business Name,Yukon,Expired
200391,KATHY'S DAIRY BAR,,Business Name,Yukon,Expired
200392,OSTROWALKER'S CONTRACTING,,Business Name,Yukon,Expired
200396,LUCKY LADY PLACERS,,Business Name,Yukon,Ceased/Dissolved
200398,KIRKMAN CREEK TRADING POST,,Business Name,Yukon,Expired
200400,THERAPEUTIC GROUP HOME,,Business Name,Yukon,Ceased/Dissolved
200401,ARCTIC PLUMBING,,Business Name,Yukon,Expired
200402,TOOBALLY LAKES FISHING CAMPS,,Business Name,Yukon,Expired
200403,FIREWEED VENTURES (1978),,Business Name,Yukon,Expired
200405,MURANA,,Business Name,Yukon,Expired
200406,GALENA HILL CRAFTS,,Business Name,Yukon,Expired
200407,CARCROSS CORNER SERVICES,,Business Name,Yukon,Ceased/Dissolved
200411,ACTIVE ENTERPRIZES,,Business Name,Yukon,Expired
200412,"MOBILE MECHANIC, THE",,Business Name,Yukon,Expired
200414,GISELLE'S FASHIONS,,Business Name,Yukon,Expired
200415,HAHN CONSTRUCTION,,Business Name,Yukon,Expired
200419,P&B HOLDINGS,,Business Name,Yukon,Ceased/Dissolved
200421,WALKERS KOIDERN LODGE,,Business Name,Yukon,Expired
200422,STOVEL MANAGEMENT GROUP,,Business Name,Yukon,Expired
200423,RELIABLE DRYWALL,,Business Name,Yukon,Expired
200424,YUKON ROAD,,Business Name,Yukon,Ceased/Dissolved
200425,DEE MINING CO,,Business Name,Yukon,Expired
200426,YUKON OFFICE SUPPLIES,,Business Name,Yukon,Ceased/Dissolved
200427,YUKON HONDA,,Business Name,Yukon,Ceased/Dissolved
200428,MAN CABS,,Business Name,Yukon,Expired
200430,PAUL'S CONSTRUCTION & GENERAL TRUCKING,,Business Name,Yukon,Expired
200431,CARETAK'N HOLDINGS,,Business Name,Yukon,Expired
200435,MILLERS' LANDING,,Business Name,Yukon,Expired
200437,DECHAN GENERAL CONTRACTING,,Business Name,Yukon,Expired
200442,"ANALYSTS OF CANADA , THE A DIVISION OF SCHLUMBERGE",,Business Name,Yukon,Expired
200444,ESSO MINERALS CANADA,,Business Name,Yukon,Ceased/Dissolved
200448,JOHN'S TAPING,,Business Name,Yukon,Expired
200451,DAN-EL ENTERPRISES,,Business Name,Yukon,Expired
200454,NO-NONSENSE FASHIONS,,Business Name,Yukon,Ceased/Dissolved
200455,CITY WIDE BURNER SERVICE,,Business Name,Yukon,Expired
200456,DR HOOK BOOST & TOW SERVICE,,Business Name,Yukon,Expired
200458,BAKERLINE A DIVISION OF BAKER TRANSWORLD INC,,Business Name,Yukon,Expired
200459,TELECHECK CANADA,,Business Name,Yukon,Ceased/Dissolved
200460,TELECHEQUE CANADA,,Business Name,Yukon,Ceased/Dissolved
200461,TELECHECK,,Business Name,Yukon,Ceased/Dissolved
200462,WILF'S CONTRACTING,,Business Name,Yukon,Ceased/Dissolved
200465,LOGGERHEAD CONSTRUCTION,,Business Name,Yukon,Expired
200467,EVERGREEN CONSTRUCTION,,Business Name,Yukon,Expired
200468,"WELCOME INN, THE",,Business Name,Yukon,Ceased/Dissolved
200472,LOAD BROKER,,Business Name,Yukon,Expired
200473,ED-LIN HOLDINGS,,Business Name,Yukon,Expired
200477,JARAND BUILDING PRODUCTS,,Business Name,Yukon,Expired
200478,BUSHWACKER CO,,Business Name,Yukon,Expired
200479,REDWOOD REALTY,,Business Name,Yukon,Ceased/Dissolved
200482,"RIGHT TYPE, THE",,Business Name,Yukon,Ceased/Dissolved
200484,P & J ENTERPRISES,,Business Name,Yukon,Ceased/Dissolved
200486,M P HEATING & GASFITTING,,Business Name,Yukon,Expired
200487,SUPERSYSTEMS,,Business Name,Yukon,Expired
200488,CORONADO CATERING,,Business Name,Yukon,Expired
200489,JUROVICH ELECTRICAL,,Business Name,Yukon,Expired
200491,RESOURCES EXPEDITING,,Business Name,Yukon,Expired
200492,PE BEN PIPELINE CONSTRUCTION ( A DIVISION OF PE BE,,Business Name,Yukon,Expired
200493,ANNIE LAKE TRUCKING,,Business Name,Yukon,Ceased/Dissolved
200494,WESTERN INDUSTRY TRAINING SERVICES,,Business Name,Yukon,Expired
200495,FINNING TRAINING SERVICES,,Business Name,Yukon,Expired
200499,HEADHUNTERS DURABILT,,Business Name,Yukon,Ceased/Dissolved
200500,SOURDOUGH SECRETARIAL SERVICES,,Business Name,Yukon,Expired
200501,ENERCAN,,Business Name,Yukon,Expired
200502,CHATEAU ENTERPRISES,,Business Name,Yukon,Expired
200503,NOTABLY YUKON TAKE A NOTE - FROM THE YUKON,,Business Name,Yukon,Expired
200505,BUILDERS SUPPLYLAND,,Business Name,Yukon,Ceased/Dissolved
